iter	Passed	Remaining
470	706	793
471	707	791
472	708	789
473	710	787
474	711	786
475	712	784
476	713	782
477	715	780
478	716	778
479	717	776
480	718	775
481	719	773
482	720	771
483	721	769
484	722	767
485	723	765
486	724	763
487	726	761
488	729	761
489	732	762
490	733	760
491	734	758
492	735	756
493	736	754
494	737	752
495	738	750
496	740	748
497	741	747
498	743	746
499	744	744
500	745	742
501	746	740
502	747	739
503	749	737
504	750	735
505	751	733
506	752	731
507	753	729
508	754	727
509	755	725
510	757	725
511	759	723
512	760	721
513	761	720
514	762	718
515	764	716
516	765	714
517	766	713
518	767	711
519	768	709
520	769	707
521	770	705
522	772	704
523	773	702
524	774	700
525	775	699
526	776	697
527	777	695
528	779	693
529	780	691
530	781	690
531	782	688
532	784	686
533	785	685
534	787	684
535	788	682
536	790	681
537	791	679
538	792	677
539	793	675
540	794	674
541	795	672
542	796	670
543	797	668
544	799	667
545	800	665
546	801	664
547	803	662
548	804	660
549	805	658
550	806	657
551	807	655
552	808	653
553	809	652
554	811	650
555	812	648
556	813	646
557	814	645
558	816	644
559	817	642
560	818	640
561	819	638
562	820	637
563	821	635
564	822	633
565	824	631
566	825	630
567	826	628
568	827	626
569	828	625
570	829	623
571	831	622
572	832	620
573	833	618
574	835	617
575	836	615
576	837	613
577	838	612
578	839	610
579	840	608
580	841	607
581	842	605
582	843	603
583	845	602
584	846	600
585	847	599
586	849	597
587	850	595
588	851	594
589	852	592
590	853	590
591	854	589
592	855	587
593	857	585
594	858	584
595	859	582
596	860	580
597	861	579
598	862	577
599	863	575
600	866	575
601	868	574
602	869	572
603	870	570
604	871	569
605	872	567
606	873	565
607	874	564
608	876	562
609	877	560
610	878	559
611	879	557
612	880	556
613	882	554
614	883	553
615	885	551
616	886	550
617	887	548
618	888	547
619	890	545
620	891	543
621	892	542
622	893	540
623	894	539
624	895	537
625	896	535
626	897	533
627	898	532
628	899	530
629	900	529
630	902	527
631	903	526
632	905	524
633	906	523
634	907	521
635	909	520
636	910	518
637	911	517
638	912	515
639	913	513
640	914	512
641	915	510
642	916	508
643	918	507
644	919	506
645	921	504
646	922	503
647	923	501
648	924	500
649	925	498
650	926	496
651	927	495
652	928	493
653	929	491
654	931	490
655	932	489
656	933	487
657	935	486
658	937	485
659	938	483
660	939	481
661	940	480
662	941	478
663	942	477
664	943	475
665	945	473
666	946	472
667	947	471
668	949	469
669	950	468
670	951	466
671	952	465
672	953	463
673	955	462
674	956	460
675	957	458
676	958	457
677	959	455
678	960	454
679	962	452
680	963	451
681	964	449
682	965	448
683	967	446
684	968	445
685	969	443
686	970	442
687	971	440
688	972	439
689	974	437
690	975	436
691	976	434
692	978	433
693	979	431
694	980	430
695	981	428
696	982	427
697	983	425
698	984	424
699	985	422
700	987	421
701	988	419
702	989	417
703	991	416
704	992	415
705	993	413
706	994	412
707	995	410
708	996	409
709	997	407
710	998	405
711	999	404
712	1000	402
713	1001	401
714	1003	399
715	1004	398
716	1006	397
717	1008	396
718	1010	394
719	1011	393
720	1012	391
721	1013	390
722	1014	388
723	1015	387
724	1016	385
725	1017	384
726	1018	382
727	1020	381
728	1021	379
729	1023	378
730	1024	376
731	1025	375
732	1026	373
733	1027	372
734	1028	370
735	1029	369
736	1031	367
737	1032	366
738	1033	364
739	1034	363
740	1036	362
741	1037	360
742	1038	359
743	1039	357
744	1040	356
745	1041	354
746	1043	353
747	1044	351
748	1045	350
749	1046	348
750	1047	347
751	1049	346
752	1050	344
753	1051	343
754	1052	341
755	1053	340
756	1055	338
757	1056	337
758	1057	335
759	1058	334
760	1059	332
761	1061	331
762	1062	330
763	1064	328
764	1066	327
765	1067	326
766	1068	324
767	1069	323
768	1070	321
769	1071	320
770	1073	318
771	1074	317
772	1075	315
773	1076	314
774	1077	312
775	1079	311
776	1080	310
777	1081	308
778	1082	307
779	1083	305
780	1084	304
781	1086	302
782	1087	301
783	1089	300
784	1092	299
785	1094	297
786	1095	296
787	1096	295
788	1097	293
789	1099	292
790	1100	290
791	1101	289
792	1102	287
793	1103	286
794	1104	284
795	1105	283
796	1107	282
797	1108	280
798	1109	279
799	1110	277
800	1112	276
801	1113	274
802	1114	273
803	1115	272
804	1116	270
805	1118	269
806	1119	267
807	1120	266
808	1121	264
809	1122	263
810	1123	261
811	1124	260
812	1125	258
813	1127	257
814	1128	256
815	1129	254
816	1130	253
817	1131	251
818	1132	250
819	1133	248
820	1135	247
821	1136	246
822	1137	244
823	1138	243
824	1140	241
825	1141	240
826	1142	239
827	1143	237
828	1144	236
829	1146	234
830	1147	233
831	1148	231
832	1149	230
833	1151	229
834	1152	227
835	1154	226
836	1155	224
837	1156	223
838	1157	222
839	1158	220
840	1159	219
841	1160	217
842	1162	216
843	1163	214
844	1164	213
845	1166	212
846	1167	210
847	1168	209
848	1169	208
849	1170	206
850	1171	205
851	1172	203
852	1174	202
853	1175	200
854	1176	199
855	1177	198
856	1178	196
857	1179	195
858	1180	193
859	1182	192
860	1183	191
861	1185	189
862	1186	188
863	1187	186
864	1188	185
865	1189	184
866	1190	182
867	1191	181
868	1192	179
869	1193	178
870	1195	177
871	1196	175
872	1197	174
873	1198	172
874	1200	171
875	1201	170
876	1202	168
877	1203	167
878	1204	165
879	1205	164
880	1206	162
881	1207	161
882	1209	160
883	1210	158
884	1212	157
885	1215	156
886	1216	154
887	1217	153
888	1218	152
889	1219	150
890	1220	149
891	1221	147
892	1222	146
893	1224	145
894	1225	143
895	1226	142
896	1227	141
897	1229	139
898	1230	138
899	1231	136
900	1232	135
901	1233	134
902	1235	132
903	1236	131
904	1237	129
905	1238	128
906	1240	127
907	1241	125
908	1242	124
909	1243	123
910	1244	121
911	1245	120
912	1247	118
913	1248	117
914	1249	116
915	1250	114
916	1251	113
917	1253	111
918	1254	110
919	1255	109
920	1256	107
921	1257	106
922	1258	105
923	1260	103
924	1261	102
925	1262	100
926	1263	99
927	1264	98
928	1265	96
929	1266	95
930	1268	93
931	1269	92
932	1270	91
933	1271	89
934	1272	88
935	1273	87
936	1274	85
937	1275	84
938	1276	82
939	1277	81
940	1278	80
941	1279	78
